ID_Pessoa,ID_Investidor,Nome,catalog_entity_id,catalog_person_id,accao,nota_outra_firma
PER0120,INV015,Jos White,c13b6517-af8a-4fc4-b759-0103507e8f41,,CRIAR,
PER0121,INV015,Stephen Chandler,c13b6517-af8a-4fc4-b759-0103507e8f41,,CRIAR,
PER0122,INV015,Itxaso del Palacio,c13b6517-af8a-4fc4-b759-0103507e8f41,,CRIAR,
PER0123,INV015,Patrick Norris,c13b6517-af8a-4fc4-b759-0103507e8f41,,CRIAR,
PER0124,INV015,Kamil Mieczakowski,c13b6517-af8a-4fc4-b759-0103507e8f41,,CRIAR,
PER0125,INV015,Stephen Millard,c13b6517-af8a-4fc4-b759-0103507e8f41,,CRIAR,
PER0126,INV016,Carles Ferrer,521d2b65-e572-4c89-aad1-9cab7b3cff3d,,CRIAR,
PER0127,INV016,Jordi Viñas,521d2b65-e572-4c89-aad1-9cab7b3cff3d,,CRIAR,
PER0128,INV016,Borja Breña,521d2b65-e572-4c89-aad1-9cab7b3cff3d,,CRIAR,
PER0129,INV016,Conor Scanlan,521d2b65-e572-4c89-aad1-9cab7b3cff3d,,CRIAR,
PER0130,INV016,Andrea Oliver,521d2b65-e572-4c89-aad1-9cab7b3cff3d,,CRIAR,
PER0131,INV016,Theo Wethered,521d2b65-e572-4c89-aad1-9cab7b3cff3d,,CRIAR,
PER0132,INV016,Ana Fernandez,521d2b65-e572-4c89-aad1-9cab7b3cff3d,,CRIAR,
PER0133,INV016,Stella Buhalis,521d2b65-e572-4c89-aad1-9cab7b3cff3d,,CRIAR,
PER0134,INV016,Arthur Sbert,521d2b65-e572-4c89-aad1-9cab7b3cff3d,,CRIAR,
PER0135,INV017,Iñaki Arrola,26a49baf-7ae2-491c-9285-89a0f0b5c832,be214c43-f7ad-4d82-9c41-34018ecf1223,ACTUALIZAR,
PER0136,INV017,Carina Szpilka,26a49baf-7ae2-491c-9285-89a0f0b5c832,5aa9b5e6-44e2-479a-a3f9-106996d217c7,ACTUALIZAR,
PER0137,INV017,Pablo Ventura,26a49baf-7ae2-491c-9285-89a0f0b5c832,5ac41791-7483-4c78-82d2-5633eaef9ed7,ACTUALIZAR,
PER0138,INV017,Marc Clemente,26a49baf-7ae2-491c-9285-89a0f0b5c832,114898ac-d0f5-4758-8adf-cc8507fa3529,ACTUALIZAR,
PER0139,INV017,Jaime Novoa,26a49baf-7ae2-491c-9285-89a0f0b5c832,2afab137-9790-46e5-a9df-c3c709d7b511,ACTUALIZAR,
PER0140,INV017,Gustavo Ribas,26a49baf-7ae2-491c-9285-89a0f0b5c832,24b4f6eb-9e95-4846-9e55-29aa384bbe0c,ACTUALIZAR,
PER0141,INV017,Borja Santos,26a49baf-7ae2-491c-9285-89a0f0b5c832,a7f0471f-7b69-44bc-97af-f104d62458b0,ACTUALIZAR,
PER0142,INV017,Sergio Álvarez Leiva,26a49baf-7ae2-491c-9285-89a0f0b5c832,a42845eb-c4b6-414d-889f-92add4beaa10,ACTUALIZAR,
PER0143,INV018,José del Barrio,db8c9441-cb8e-4625-a8df-82409700e774,,CRIAR,
PER0144,INV018,Eduardo Diez-Hochleitner,db8c9441-cb8e-4625-a8df-82409700e774,,CRIAR,
PER0145,INV018,Luis Garay,db8c9441-cb8e-4625-a8df-82409700e774,,CRIAR,
PER0146,INV018,Alberto Cuevas,db8c9441-cb8e-4625-a8df-82409700e774,,CRIAR,
PER0147,INV018,Pablo Ferreras,db8c9441-cb8e-4625-a8df-82409700e774,,CRIAR,
PER0148,INV018,Íñigo Laucirica,db8c9441-cb8e-4625-a8df-82409700e774,,CRIAR,
PER0149,INV018,Irene Gentili,db8c9441-cb8e-4625-a8df-82409700e774,,CRIAR,
PER0150,INV018,Carmen Sánchez,db8c9441-cb8e-4625-a8df-82409700e774,,CRIAR,
PER0151,INV019,Marco Neves,7cddf0fb-2ee6-49f0-9379-ba6cd8777e22,d1ee1ba4-7643-4a99-9d0d-2914fb15dfe0,ACTUALIZAR,
PER0152,INV019,João Paulo Miranda,7cddf0fb-2ee6-49f0-9379-ba6cd8777e22,1a972831-7b4f-49d5-908f-fcb40f770039,ACTUALIZAR,
PER0153,INV019,Carla Areias,7cddf0fb-2ee6-49f0-9379-ba6cd8777e22,906a1ded-0d16-4086-8cb8-155c0ae7218f,ACTUALIZAR,
PER0154,INV019,Miguel Barbosa,7cddf0fb-2ee6-49f0-9379-ba6cd8777e22,2bf4ec41-8af1-4d33-a903-71b3c8e1a648,ACTUALIZAR,
PER0155,INV019,Nuno Oliveira,7cddf0fb-2ee6-49f0-9379-ba6cd8777e22,08d16b31-6d12-48a2-9fc1-a04bbbf77ca8,ACTUALIZAR,
PER0156,INV020,Stephan de Moraes,fbde8b3e-1b4c-498e-bcee-6da27fd6424b,3deaef15-f9b4-45f9-8caa-0a111fa58602,ACTUALIZAR,
PER0157,INV020,Ricardo Torgal,fbde8b3e-1b4c-498e-bcee-6da27fd6424b,ac98a9ce-58f9-423a-8f91-f83d4fc0bc6c,ACTUALIZAR,
PER0158,INV020,Cristina Fonseca,fbde8b3e-1b4c-498e-bcee-6da27fd6424b,20784284-2217-44f0-9ff2-57133639d9a0,ACTUALIZAR,
PER0159,INV020,Rui Rodrigues,fbde8b3e-1b4c-498e-bcee-6da27fd6424b,0bab99d4-0ce0-4108-a916-20f9cd11df7d,ACTUALIZAR,
PER0160,INV020,André Almeida Santos,fbde8b3e-1b4c-498e-bcee-6da27fd6424b,c1dc7edd-c8c6-4181-bbe5-bdd22bd7a058,ACTUALIZAR,
PER0161,INV020,Rui Jerónimo,fbde8b3e-1b4c-498e-bcee-6da27fd6424b,7041b005-93e4-42b9-968e-4ee739bba4ac,ACTUALIZAR,
PER0162,INV020,João Pedro Roque,fbde8b3e-1b4c-498e-bcee-6da27fd6424b,dbdb1eb5-7776-4dac-9b0d-412b63dec617,ACTUALIZAR,
PER0163,INV020,Tomás Marchão Marques,fbde8b3e-1b4c-498e-bcee-6da27fd6424b,a3302585-03c7-4b74-8f6c-8aba488c7ec7,ACTUALIZAR,
PER0164,INV021,Ricardo Jacinto,11111111-0000-4000-a000-000000000006,b023f0f4-7874-4c11-9a05-f5a144861829,ACTUALIZAR,
PER0165,INV021,Pedro Ramalho Carlos,11111111-0000-4000-a000-000000000006,c7dee61b-4e27-4d14-9dc7-ba05babacba6,ACTUALIZAR,eba83aa1-ff15-4c74-bdeb-322a0011549f @ Investors Portugal — já casa na Shilling; a de Investors Portugal é 2.ª afiliação legítima — NÃO fundir
PER0166,INV021,Hugo Gonçalves Pereira,11111111-0000-4000-a000-000000000006,49ddc040-06b9-47c0-b03c-4257c2c20f97,AFILIAR_EXISTENTE,49ddc040-06b9-47c0-b03c-4257c2c20f97 @ Investors Portugal — acrescentar afiliação Shilling à pessoa existente
PER0167,INV021,Miguel Santo Amaro,11111111-0000-4000-a000-000000000006,874ef44c-06c9-4740-b70e-2172a34e5ce8,ACTUALIZAR,
PER0168,INV021,Pedro Rosa,11111111-0000-4000-a000-000000000006,29e8e659-d1a1-46cb-a4c3-c179efa28812,ACTUALIZAR,
PER0169,INV021,Tomás Güida,11111111-0000-4000-a000-000000000006,44a866cc-c3e1-4f64-beef-a65b63f6be60,ACTUALIZAR,
PER0170,INV021,António Casanova,11111111-0000-4000-a000-000000000006,301cc59e-34af-40a6-aa72-4789d6809c39,ACTUALIZAR,
PER0171,INV021,Diogo da Silveira,11111111-0000-4000-a000-000000000006,850561fe-8cb7-41ff-9db8-081dcc28350f,ACTUALIZAR,
PER0172,INV021,João Coelho Borges,11111111-0000-4000-a000-000000000006,083ad115-e2cc-45ea-a81b-83ad4a9caeef,ACTUALIZAR,
PER0173,INV021,Juan Alvarez,11111111-0000-4000-a000-000000000006,cdddb9be-c8e9-4c41-b048-640e87febe0b,ACTUALIZAR,
PER0174,INV021,Pedro Santos Vieira,11111111-0000-4000-a000-000000000006,33d843d4-b521-41a5-8c97-1a5c9f44f67e,ACTUALIZAR,
PER0175,INV021,Pedro Rutkowski,11111111-0000-4000-a000-000000000006,9f67dd75-e690-4b6e-aff3-0ec56cb3624e,ACTUALIZAR,
PER0176,INV022,Joaquim Sérvulo Rodrigues,e797379b-3b06-4711-8d20-12f4558b7a0f,577a3878-429e-4b0d-be21-32ad11b36c66,ACTUALIZAR,e00b71f4-4f24-4579-9d98-664c002c0d39 @ Investors Portugal — já casa na Armilar; idem
PER0177,INV022,Pedro Ribeiro Santos,e797379b-3b06-4711-8d20-12f4558b7a0f,fdec063f-9883-4c63-a404-0aa98a180a7e,ACTUALIZAR,
PER0178,INV022,Duarte Mineiro,e797379b-3b06-4711-8d20-12f4558b7a0f,c5ac3783-e857-47a8-b73f-b6883b178bb1,ACTUALIZAR,
PER0179,INV022,Nuno Leite,e797379b-3b06-4711-8d20-12f4558b7a0f,b5158f3d-cc34-4646-badd-85cb5094b6f7,ACTUALIZAR,
PER0180,INV022,João Dias,e797379b-3b06-4711-8d20-12f4558b7a0f,b8583a07-3c90-4bf9-b69a-45d4f4be72ce,ACTUALIZAR,
PER0181,INV022,Rodolfo Condessa,e797379b-3b06-4711-8d20-12f4558b7a0f,4b34ef4f-bef3-4356-8dd8-e578bffc34bd,ACTUALIZAR,
PER0182,INV022,Pedro Castel-Branco,e797379b-3b06-4711-8d20-12f4558b7a0f,87b433e7-9b82-4654-8275-c0b6f058f37d,ACTUALIZAR,
PER0183,INV022,Inês de Macedo Santos,e797379b-3b06-4711-8d20-12f4558b7a0f,22471457-e194-482a-a6ad-13c7143d2a8f,ACTUALIZAR,
PER0184,INV022,Pedro Almeida,e797379b-3b06-4711-8d20-12f4558b7a0f,1739fd6c-346e-4daa-a054-e020c116ee0a,ACTUALIZAR,
PER0185,INV022,Darío Villena,e797379b-3b06-4711-8d20-12f4558b7a0f,496da02d-0dba-4e3e-b778-c9b34befaf34,ACTUALIZAR,
PER0186,INV023,Hussein Kanji,48e7eac6-7581-44c9-90cf-fcd55c42d57e,,CRIAR,
PER0187,INV023,Payton Dobbs,48e7eac6-7581-44c9-90cf-fcd55c42d57e,,CRIAR,
PER0188,INV023,Midge Mazzier,48e7eac6-7581-44c9-90cf-fcd55c42d57e,,CRIAR,
PER0189,INV023,Rishabh Kaul,48e7eac6-7581-44c9-90cf-fcd55c42d57e,,CRIAR,
PER0190,INV024,Leila Zegna,beeabdc1-4eb9-421a-965f-8adcb4fe9c90,,CRIAR,
PER0191,INV024,Chrys Chrysanthou,beeabdc1-4eb9-421a-965f-8adcb4fe9c90,,CRIAR,
PER0192,INV024,John Cassidy,beeabdc1-4eb9-421a-965f-8adcb4fe9c90,,CRIAR,
PER0193,INV024,Mark Evans,beeabdc1-4eb9-421a-965f-8adcb4fe9c90,,CRIAR,
PER0194,INV024,Russell Buckley,beeabdc1-4eb9-421a-965f-8adcb4fe9c90,,CRIAR,
PER0195,INV024,Max Bray,beeabdc1-4eb9-421a-965f-8adcb4fe9c90,,CRIAR,
PER0196,INV024,Irina Haivas,beeabdc1-4eb9-421a-965f-8adcb4fe9c90,,CRIAR,
PER0197,INV024,Juliet Bailin,beeabdc1-4eb9-421a-965f-8adcb4fe9c90,,CRIAR,
PER0198,INV025,Pietro Bezza,061e685b-f35d-42ab-acea-b8fde23b2d60,,CRIAR,
PER0199,INV025,Sitar Teli,061e685b-f35d-42ab-acea-b8fde23b2d60,,CRIAR,
PER0200,INV025,Rory Stirling,061e685b-f35d-42ab-acea-b8fde23b2d60,,CRIAR,
PER0201,INV026,Jimmy Fussing Nielsen,fba14c8e-3adf-4bed-b7c9-0dfb19fba9d1,,CRIAR,
PER0202,INV026,Christian Lindegaard Jepsen,fba14c8e-3adf-4bed-b7c9-0dfb19fba9d1,,CRIAR,
PER0203,INV026,Max Niederhofer,fba14c8e-3adf-4bed-b7c9-0dfb19fba9d1,,CRIAR,
PER0204,INV026,Yacine Ghalim,fba14c8e-3adf-4bed-b7c9-0dfb19fba9d1,,CRIAR,
PER0205,INV026,Naza Metghalchi,fba14c8e-3adf-4bed-b7c9-0dfb19fba9d1,,CRIAR,
PER0206,INV026,Lærke Rud Hansen,fba14c8e-3adf-4bed-b7c9-0dfb19fba9d1,,CRIAR,
PER0207,INV026,Bérenger Teboul-Danguin,fba14c8e-3adf-4bed-b7c9-0dfb19fba9d1,,CRIAR,
PER0208,INV026,Tomáš Fanta,fba14c8e-3adf-4bed-b7c9-0dfb19fba9d1,,CRIAR,
PER0209,INV027,Romain Lavault,082376fd-1f9c-4c58-bb19-c30f1224c43b,,CRIAR,
